,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(25,)","[0.47715528 0.45879088 0.47208733 0.46509792 0.46658166 0.4696236
 0.47049059 0.47173588 0.45793502 0.46088344]",0.46703815926707726,"('kw_avg_avg',)",0.004464073778433935,0.006010496753149629,0.002003498917716543
2,"(25, 40)","[0.48134717 0.47094747 0.47921215 0.47411552 0.47840574 0.47662933
 0.48020164 0.48395716 0.46484794 0.46416848]",0.4753832588934944,"('kw_avg_avg', 'LDA_03')",0.004788586053857609,0.006447425010745642,0.0021491416702485474
3,"(12, 25, 40)","[0.48092623 0.47832184 0.47938098 0.47191743 0.48431059 0.47986505
 0.4819398  0.48882481 0.46686097 0.46758943]",0.47799371168888916,"('data_channel_is_entertainment', 'kw_avg_avg', 'LDA_03')",0.005015536565039498,0.0067529946268156844,0.002250998208938561
4,"(12, 25, 40, 42)","[0.48436827 0.48174994 0.47720928 0.47054489 0.48738545 0.48247399
 0.47797377 0.48845259 0.4714736  0.47145773]",0.47930895257739675,"('data_channel_is_entertainment', 'kw_avg_avg', 'LDA_03', 'global_subjectivity')",0.004676397328118659,0.00629637240604821,0.00209879080201607
5,"(12, 25, 39, 40, 42)","[0.48380631 0.48210324 0.47667508 0.4743932  0.48925056 0.48471757
 0.47875849 0.49199152 0.46933598 0.46891683]",0.47999487847825806,"('data_channel_is_entertainment', 'kw_avg_avg', 'LDA_02', 'LDA_03', 'global_subjectivity')",0.00551374504496319,0.007423790092929926,0.0024745966976433085
6,"(12, 25, 27, 39, 40, 42)","[0.4836152  0.48575247 0.47725872 0.47492853 0.49430577 0.48471757
 0.47951153 0.4911698  0.46870745 0.46802204]",0.48079890748495346,"('data_channel_is_entertainment', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_02', 'LDA_03', 'global_subjectivity')",0.006195842287452901,0.008342176182587023,0.0027807253941956743
7,"(12, 25, 26, 27, 39, 40, 42)","[0.48427055 0.48573664 0.47733451 0.47631059 0.49454834 0.4854781
 0.47951153 0.49014519 0.47198649 0.46800854]",0.48133305032169654,"('data_channel_is_entertainment', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'LDA_02', 'LDA_03', 'global_subjectivity')",0.005786166571465538,0.007790582574819608,0.0025968608582732024
8,"(12, 16, 25, 26, 27, 39, 40, 42)","[0.48286972 0.48552354 0.47821775 0.47491968 0.49357396 0.48551836
 0.48031739 0.49068346 0.47398929 0.4692614 ]",0.48148745495814865,"('data_channel_is_entertainment', 'data_channel_is_world', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'LDA_02', 'LDA_03', 'global_subjectivity')",0.005386555435395542,0.00725254007035326,0.0024175133567844198
9,"(12, 16, 25, 26, 27, 36, 39, 40, 42)","[0.48494643 0.4855035  0.47733515 0.47636645 0.49621838 0.4839515
 0.48009426 0.48901896 0.47335387 0.47112014]",0.4817908663598199,"('data_channel_is_entertainment', 'data_channel_is_world', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'is_weekend', 'LDA_02', 'LDA_03', 'global_subjectivity')",0.005386648898440959,0.0072526659104174915,0.002417555303472497
10,"(12, 16, 25, 26, 27, 36, 39, 40, 41, 42)","[0.48494643 0.48557494 0.47733515 0.474071   0.4958222  0.48509504
 0.48038149 0.49029946 0.47328296 0.47118396]",0.48179926421686936,"('data_channel_is_entertainment', 'data_channel_is_world', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'is_weekend', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity')",0.005611269509928138,0.007555098514142918,0.0025183661713809725
11,"(11, 12, 16, 25, 26, 27, 36, 39, 40, 41, 42)","[0.48525674 0.48494858 0.47748611 0.47500034 0.49639483 0.48382696
 0.48031042 0.4906669  0.4736784  0.47052645]",0.48180957384388223,"('data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_world', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'is_weekend', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity')",0.005645197356210872,0.007600779481807228,0.002533593160602409
12,"(11, 12, 13, 16, 25, 26, 27, 36, 39, 40, 41, 42)","[0.48579793 0.48295114 0.47772861 0.48034554 0.49467354 0.48064863
 0.48223077 0.48983445 0.47723555 0.46988771]",0.48213338751153173,"('data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_world', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'is_weekend', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity')",0.004866993061918555,0.006552993397552148,0.0021843311325173828
13,"(7, 11, 12, 13, 16, 25, 26, 27, 36, 39, 40, 41, 42)","[0.48627185 0.48496268 0.48038359 0.48177667 0.49454409 0.48213534
 0.48687572 0.48723798 0.47870054 0.46826052]",0.48311489781533823,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_world', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'is_weekend', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity')",0.004844744094395421,0.006523037049674394,0.0021743456832247978
14,"(7, 11, 12, 13, 15, 16, 25, 26, 27, 36, 39, 40, 41, 42)","[0.48749551 0.48863261 0.48123216 0.48045467 0.49582497 0.47930947
 0.48669604 0.48964817 0.48067695 0.47265363]",0.484262417382174,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'is_weekend', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity')",0.004662000016132025,0.006276987646466547,0.002092329215488849
15,"(7, 11, 12, 13, 15, 16, 25, 26, 27, 36, 37, 39, 40, 41, 42)","[0.48851923 0.48975621 0.48120834 0.48020964 0.49673877 0.4806652
 0.48898569 0.49019895 0.48396512 0.47434134]",0.4854588506099834,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'is_weekend', 'LDA_00', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity')",0.004604863831203685,0.006200058619070496,0.0020666862063568317
16,"(7, 11, 12, 13, 15, 16, 25, 26, 27, 36, 37, 39, 40, 41, 42, 50)","[0.4915317  0.48941757 0.48232015 0.48271214 0.49679858 0.48227706
 0.48798347 0.48843567 0.48389407 0.47461671]",0.4859987125887318,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'is_weekend', 'LDA_00', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'max_positive_polarity')",0.004336969549308962,0.005839361688098073,0.0019464538960326909
17,"(7, 11, 12, 13, 15, 16, 17, 25, 26, 27, 36, 37, 39, 40, 41, 42, 50)","[0.48899505 0.48895139 0.48284169 0.48326128 0.49769029 0.48441333
 0.49143423 0.48735738 0.48405861 0.47525062]",0.48642538731102014,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'is_weekend', 'LDA_00', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'max_positive_polarity')",0.0042224967724541936,0.005685233802279174,0.001895077934093058
18,"(7, 11, 12, 13, 15, 16, 17, 25, 26, 27, 29, 36, 37, 39, 40, 41, 42, 50)","[0.48892268 0.49085738 0.48138523 0.48180074 0.49926616 0.48437733
 0.49201277 0.48879441 0.48496444 0.47516961]",0.4867550745702318,"('num_imgs', 'data_channel_is_lifestyle', 'data_channel_is_entertainment', 'data_channel_is_bus', 'data_channel_is_tech', 'data_channel_is_world', 'kw_min_min', 'kw_avg_avg', 'self_reference_min_shares', 'self_reference_max_shares', 'weekday_is_monday', 'is_weekend', 'LDA_00', 'LDA_02', 'LDA_03', 'LDA_04', 'global_subjectivity', 'max_positive_polarity')",0.0047342961133785616,0.0063743282101160455,0.0021247760700386815
