	feature_idx	avg_score	feature_names	ci_bound	std_dev	std_err
1	(25,)	0.016409983140415585	('kw_avg_avg',)	0.013301887361481829	0.017909863224750876	0.005969954408250292
2	(25, 42)	0.01842169871755265	('kw_avg_avg', 'global_subjectivity')	0.01281457685749296	0.017253740958996493	0.005751246986332163
3	(24, 25, 42)	0.019532239096198133	('kw_max_avg', 'kw_avg_avg', 'global_subjectivity')	0.009708509059620252	0.013071684088797114	0.004357228029599038
4	(17, 24, 25, 42)	0.02086043813915185	('kw_min_min', 'kw_max_avg', 'kw_avg_avg', 'global_subjectivity')	0.009891800051256587	0.013318469864478951	0.0044394899548263166
5	(17, 24, 25, 27, 42)	0.021597387445167548	('kw_min_min', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'global_subjectivity')	0.01006175346319697	0.01354729772023467	0.004515765906744891
6	(17, 23, 24, 25, 27, 42)	0.022288911146307953	('kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'global_subjectivity')	0.009842146243323354	0.013251615223140807	0.004417205074380269
7	(17, 23, 24, 25, 27, 38, 42)	0.02276150916340699	('kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'global_subjectivity')	0.009947503703317847	0.013393470107859838	0.004464490035953279
8	(7, 17, 23, 24, 25, 27, 38, 42)	0.023267796800971352	('num_imgs', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'global_subjectivity')	0.009636317406477963	0.012974484150276282	0.004324828050092094
9	(0, 7, 17, 23, 24, 25, 27, 38, 42)	0.023592991672705853	('n_tokens_title', 'num_imgs', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'global_subjectivity')	0.009732635210914166	0.01310416790542188	0.00436805596847396
10	(0, 7, 17, 23, 24, 25, 27, 38, 39, 42)	0.023947686196052476	('n_tokens_title', 'num_imgs', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'LDA_02', 'global_subjectivity')	0.009687245177832253	0.013043054075318493	0.004347684691772831
11	(0, 7, 13, 17, 23, 24, 25, 27, 38, 39, 42)	0.024229148360339302	('n_tokens_title', 'num_imgs', 'data_channel_is_bus', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'LDA_02', 'global_subjectivity')	0.009734190378688768	0.013106261806939594	0.004368753935646531
12	(0, 7, 12, 13, 17, 23, 24, 25, 27, 38, 39, 42)	0.024646804225060916	('n_tokens_title', 'num_imgs', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'LDA_02', 'global_subjectivity')	0.009527348116034718	0.012827766242170404	0.0042759220807234675
13	(0, 7, 12, 13, 17, 23, 24, 25, 27, 38, 39, 41, 42)	0.024862254969765695	('n_tokens_title', 'num_imgs', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity')	0.008896526391339829	0.011978418288645983	0.003992806096215328
14	(0, 7, 12, 13, 17, 20, 23, 24, 25, 27, 38, 39, 41, 42)	0.025027848237371475	('n_tokens_title', 'num_imgs', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity')	0.008754889779761788	0.011787716603084778	0.003929238867694926
15	(0, 5, 7, 12, 13, 17, 20, 23, 24, 25, 27, 38, 39, 41, 42)	0.02517882027635604	('n_tokens_title', 'num_hrefs', 'num_imgs', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity')	0.008689930345674926	0.011700254234171493	0.0039000847447238306
16	(0, 5, 6, 7, 12, 13, 17, 20, 23, 24, 25, 27, 38, 39, 41, 42)	0.025533095502237136	('n_tokens_title', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity')	0.008560288367889662	0.011525702305770437	0.0038419007685901456
17	(0, 5, 6, 7, 12, 13, 17, 20, 23, 24, 25, 27, 38, 39, 41, 42, 57)	0.025645413175923372	('n_tokens_title', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'abs_title_sentiment_polarity')	0.008657639645992787	0.01165677754556163	0.0038855925151872095
18	(0, 5, 6, 7, 12, 13, 17, 20, 23, 24, 25, 27, 38, 39, 41, 42, 56, 57)	0.025872437788162894	('n_tokens_title', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'abs_title_subjectivity', 'abs_title_sentiment_polarity')	0.008486668702975871	0.011426579670506212	0.003808859890168737
19	(0, 5, 6, 7, 9, 12, 13, 17, 20, 23, 24, 25, 27, 38, 39, 41, 42, 56, 57)	0.025917157877045304	('n_tokens_title', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'average_token_length', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'abs_title_subjectivity', 'abs_title_sentiment_polarity')	0.008619812797828289	0.011605846902530375	0.003868615634176791
20	(0, 4, 5, 6, 7, 9, 12, 13, 17, 20, 23, 24, 25, 27, 38, 39, 41, 42, 56, 57)	0.026008795469473912	('n_tokens_title', 'n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'average_token_length', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'abs_title_subjectivity', 'abs_title_sentiment_polarity')	0.008681558740185193	0.011688982577359328	0.0038963275257864424
21	(0, 4, 5, 6, 7, 9, 12, 13, 17, 20, 23, 24, 25, 27, 30, 38, 39, 41, 42, 56, 57)	0.026047760052944412	('n_tokens_title', 'n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'average_token_length', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'weekday_is_tuesday', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'abs_title_subjectivity', 'abs_title_sentiment_polarity')	0.008749908745657809	0.011781010063095692	0.003927003354365231
22	(0, 4, 5, 6, 7, 9, 12, 13, 17, 20, 23, 24, 25, 27, 30, 38, 39, 41, 42, 51, 56, 57)	0.026065623808441428	('n_tokens_title', 'n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'average_token_length', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'weekday_is_tuesday', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'avg_negative_polarity', 'abs_title_subjectivity', 'abs_title_sentiment_polarity')	0.008621523752672592	0.011608150558125438	0.003869383519375146
23	(0, 4, 5, 6, 7, 9, 12, 13, 17, 20, 23, 24, 25, 27, 30, 38, 39, 41, 42, 45, 51, 56, 57)	0.026065623808441442	('n_tokens_title', 'n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'average_token_length', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'weekday_is_tuesday', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'global_rate_negative_words', 'avg_negative_polarity', 'abs_title_subjectivity', 'abs_title_sentiment_polarity')	0.008621523752672618	0.011608150558125474	0.0038693835193751576
24	(0, 4, 5, 6, 7, 9, 12, 13, 17, 20, 23, 24, 25, 27, 30, 31, 38, 39, 41, 42, 45, 51, 56, 57)	0.026060311950326976	('n_tokens_title', 'n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'average_token_length', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'weekday_is_tuesday', 'weekday_is_wednesday', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'global_rate_negative_words', 'avg_negative_polarity', 'abs_title_subjectivity', 'abs_title_sentiment_polarity')	0.008732079221796663	0.01175700412130429	0.003919001373768096
25	(0, 4, 5, 6, 7, 9, 12, 13, 17, 20, 23, 24, 25, 27, 30, 31, 38, 39, 41, 42, 44, 45, 51, 56, 57)	0.026052591628772936	('n_tokens_title', 'n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'average_token_length', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'weekday_is_tuesday', 'weekday_is_wednesday', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'global_rate_positive_words', 'global_rate_negative_words', 'avg_negative_polarity', 'abs_title_subjectivity', 'abs_title_sentiment_polarity')	0.008741147525439178	0.011769213823093545	0.003923071274364515
26	(0, 4, 5, 6, 7, 9, 12, 13, 17, 20, 23, 24, 25, 27, 30, 31, 38, 39, 41, 42, 44, 45, 49, 51, 56, 57)	0.02603048866526462	('n_tokens_title', 'n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'average_token_length', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'weekday_is_tuesday', 'weekday_is_wednesday', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'global_rate_positive_words', 'global_rate_negative_words', 'min_positive_polarity', 'avg_negative_polarity', 'abs_title_subjectivity', 'abs_title_sentiment_polarity')	0.008669248429519388	0.011672407788061593	0.0038908025960205307
27	(0, 4, 5, 6, 7, 9, 12, 13, 17, 20, 23, 24, 25, 27, 30, 31, 38, 39, 41, 42, 44, 45, 49, 50, 51, 56, 57)	0.026005434041788233	('n_tokens_title', 'n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'average_token_length', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'weekday_is_tuesday', 'weekday_is_wednesday', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'global_rate_positive_words', 'global_rate_negative_words', 'min_positive_polarity', 'max_positive_polarity', 'avg_negative_polarity', 'abs_title_subjectivity', 'abs_title_sentiment_polarity')	0.008679858481133647	0.011686693322742121	0.0038955644409140403
28	(0, 4, 5, 6, 7, 9, 12, 13, 17, 20, 23, 24, 25, 27, 30, 31, 35, 38, 39, 41, 42, 44, 45, 49, 50, 51, 56, 57)	0.02597016908294577	('n_tokens_title', 'n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'average_token_length', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'weekday_is_tuesday', 'weekday_is_wednesday', 'weekday_is_sunday', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'global_rate_positive_words', 'global_rate_negative_words', 'min_positive_polarity', 'max_positive_polarity', 'avg_negative_polarity', 'abs_title_subjectivity', 'abs_title_sentiment_polarity')	0.008667974118732434	0.011670692036658806	0.003890230678886268
29	(0, 4, 5, 6, 7, 9, 12, 13, 17, 20, 23, 24, 25, 27, 30, 31, 32, 35, 38, 39, 41, 42, 44, 45, 49, 50, 51, 56, 57)	0.025900038860206066	('n_tokens_title', 'n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'average_token_length', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'weekday_is_tuesday', 'weekday_is_wednesday', 'weekday_is_thursday', 'weekday_is_sunday', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'global_rate_positive_words', 'global_rate_negative_words', 'min_positive_polarity', 'max_positive_polarity', 'avg_negative_polarity', 'abs_title_subjectivity', 'abs_title_sentiment_polarity')	0.008617515495482675	0.011602753779751802	0.0038675845932506
30	(0, 2, 4, 5, 6, 7, 9, 12, 13, 17, 20, 23, 24, 25, 27, 30, 31, 32, 35, 38, 39, 41, 42, 44, 45, 49, 50, 51, 56, 57)	0.025828516009517244	('n_tokens_title', 'n_unique_tokens', 'n_non_stop_unique_tokens', 'num_hrefs', 'num_self_hrefs', 'num_imgs', 'average_token_length', 'data_channel_is_entertainment', 'data_channel_is_bus', 'kw_min_min', 'kw_min_max', 'kw_min_avg', 'kw_max_avg', 'kw_avg_avg', 'self_reference_max_shares', 'weekday_is_tuesday', 'weekday_is_wednesday', 'weekday_is_thursday', 'weekday_is_sunday', 'LDA_01', 'LDA_02', 'LDA_04', 'global_subjectivity', 'global_rate_positive_words', 'global_rate_negative_words', 'min_positive_polarity', 'max_positive_polarity', 'avg_negative_polarity', 'abs_title_subjectivity', 'abs_title_sentiment_polarity')	0.008551644682966129	0.011514064317075193	0.0038380214390250646
